# Expression Atlas version: 3.5
# Query: Genes matching: default query, specifically up/down differentially expressed in 2 comparisons  given the p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-4152
# Timestamp: Sun, 23-Jul-2017 11:46:47
Gene ID	Gene Name	Design Element	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.foldChange	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.pValue	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.tStat	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.foldChange	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.pValue	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.tStat
ENSG00000003147	ICA1	8138202	-0.3	0.0138346396130377	-4.96296943365674	-0.4	0.0135562539935851	-5.76190103195862
ENSG00000003393	ALS2	8058295				0.1	0.497567372090242	1.04955677000534
ENSG00000003402	CFLAR	8047381	-0.2	0.146822838243749	-2.27137978616491	0.2	0.239493722072754	1.8263489464119
ENSG00000003402	CFLAR	8047401	-0.4	0.184422959014481	-2.03389181796273	0.5	0.0121335677272416	5.9983799842827
ENSG00000003989	SLC7A2	8144786	-1.2	1.48877557198763E-4	-16.0274064062826	-0.7	0.00316811210186511	-9.78161616619735
ENSG00000004059	ARF5	8135856	-0.2	0.0465660884892661	-3.48299428483435	-0.3	0.0477918578505111	-3.60083950292561
ENSG00000004139	SARM1	8005865				-0.3	0.0199072077008244	-4.9932980647601
ENSG00000004399	PLXND1	8090591	0.9	6.02764771138027E-5	20.7694210101219	-0.3	0.0113700495215597	-6.15842294690006
ENSG00000004487	KDM1A	7898833	0.2	0.135000019544453	2.36317217326726			
ENSG00000004534	RBM6	8079842	0.1	0.267217939991604	1.64964110467056			
ENSG00000004660	CAMKK1	8011480	-0.4	0.0169488748517958	-4.69769250856384			
ENSG00000004700	RECQL	7961654	0.3	0.0445000205167658	3.5325419455896	0.3	0.0305746066168941	4.27084272564461
ENSG00000004766	VPS50	8134219	-0.1	0.34411038586	-1.38117400768871			
ENSG00000004776	HSPB6	8036151	-0.2	0.165574411470182	-2.14609538055422	-0.8	0.0040265979336726	-8.94098522195327
ENSG00000004799	PDK4	8141094	-1.7	3.19842712340449E-5	-28.5906571731573	-0.3	0.0395010876848188	-3.85818872795066
ENSG00000004864	SLC25A13	8141107	0.3	0.0213280706561915	4.39644588105351			
ENSG00000004897	CDC27	8016324	0.1	0.404463312920314	1.20882865176097	0.2	0.136324385126092	2.399185975398
ENSG00000004948	CALCR	8140995	0.2	0.196340734842142	1.96954612916708	0.1	0.616642620132505	0.795025728110078
ENSG00000005059	MCUB	8096808	-0.8	9.34224408861593E-4	-9.9464751275001			
ENSG00000005073	HOXA11	8138765	-0.3	0.0861353592064347	-2.82469963122696			
ENSG00000005075	POLR2J	8141762	0.2	0.194513697561164	1.98030667936709			
ENSG00000005108	THSD7A	8138231	0.2	0.295091116607292	1.54544694701492			
ENSG00000005156	LIG3	8006479	0.2	0.0298406696339513	3.98604780478898			
ENSG00000005175	RPAP3	7962590				0.3	0.0224529413156021	4.79712290263295
ENSG00000005187	ACSM3	7993756	-0.1	0.417298828766261	-1.17430018111844	-0.3	0.0470986014517684	-3.61974427917586
ENSG00000005189	AC004381.6	7993776	-0.4	0.0205080095082549	-4.44961050291705	-0.2	0.133996468503646	-2.41682957667788
ENSG00000005206	SPPL2B	8024446				-0.3	0.0641326306324822	-3.23790443505561
ENSG00000005243	COPZ2	8016390				-0.3	0.0207728001106395	-4.9212575867166
ENSG00000005249	PRKAR2B	8135378	-1.0	1.73907919478298E-4	-15.2558564385548	-0.5	0.00339532717491792	-9.50890421847752
ENSG00000005302	MSL3	8166015				-0.1	0.268889650786406	-1.70695757062294
ENSG00000005381	MPO	8016932				-0.1	0.395183482375069	-1.29729884565805
ENSG00000005436	GCFC2	8053288	-0.2	0.133383540390609	-2.37637988087538			
ENSG00000005469	CROT	8133938	-0.6	0.00333681136005074	-7.20589474069953	-0.1	0.548564037807431	-0.937386709018094
ENSG00000005483	KMT2E	8135277	-0.3	0.0215039986400464	-4.38434812901572			
ENSG00000005486	RHBDD2	8133662	-0.2	0.128784687024393	-2.41016429740811	-0.4	0.0241823727044014	-4.66934387357076
ENSG00000005700	IBTK	8127787	0.6	0.00809098478727437	5.72845601382791	0.2	0.0914452914374622	2.82859559583167
ENSG00000005810	MYCBP2	7972069	0.2	0.1038917272129	2.6313238478417			
ENSG00000005844	ITGAL	7994826	0.2	0.0980223537708262	2.69025522570903			
ENSG00000005882	PDK2	8008263	-0.8	3.77558079543944E-4	-12.5292795289292	-0.4	0.0143665492064241	-5.64010486227915
ENSG00000005884	ITGA3	8008237	1.4	3.67486829778851E-5	24.8523934581021			
ENSG00000005893	LAMP2	8174779	-0.2	0.0430656080426314	-3.56822540176593			
ENSG00000005981	ASB4	8134376				-0.1	0.498975194275599	-1.04618817693348
ENSG00000006007	GDE1	7999889	-0.5	0.00230301294674532	-7.91103140952367			
ENSG00000006016	CRLF1	8035506	-0.3	0.00626507149169779	-6.15398641231519	0.2	0.0174274752722449	5.24869927859427
ENSG00000006025	OSBPL7	8016336				-0.2	0.0547125238767763	-3.42952810282851
ENSG00000006042	TMEM98	8006415	-0.3	0.031370786365277	-3.92598074200879			
ENSG00000006059	KRT33A	8015257	0.1	0.692323479717405	0.58132073879352	0.1	0.525303632716609	0.987504006371129
ENSG00000006194	ZNF263	7992870	0.1	0.366683132133508	1.31352685795259	-0.1	0.597634084785113	-0.833888585023028
ENSG00000006210	CX3CL1	7996027	0.4	0.00250366608507175	7.74263488415448	-0.6	0.00276865020652523	-10.2520286081712
ENSG00000006282	SPATA20	8008388	-0.3	0.0215039986400464	-4.38463294547386	-0.3	0.0317216222606672	-4.20471897804514
ENSG00000006432	MAP3K9	7979943	0.2	0.252361021093547	1.709218054995			
ENSG00000006451	RALA	8132406	0.5	0.0200470927336873	4.47999516733033	0.2	0.125211807088656	2.48772295419725
ENSG00000006453	BAIAP2L1	8141206				-0.5	0.0077560475625492	-7.11036056258
ENSG00000006459	KDM7A	8143341	-0.3	0.156416705400505	-2.20529536368619	0.4	0.105715822591924	2.66891357123104
ENSG00000006468	ETV1	8138289	-1.3	1.40123022806205E-4	-16.2377576452175	-0.1	0.303946717524978	-1.57752184846609
ENSG00000006534	ALDH3B1	7941961	-0.2	0.0343378376457635	-3.82244342602981	-0.3	0.0138854780211569	-5.7101892805457
ENSG00000006576	PHTF2	8133818	0.3	0.0482566003020856	3.4459613533745	0.2	0.189282632507951	2.06213904791068
ENSG00000006634	DBF4	8133976	0.2	0.125358229125035	2.4398167572212	0.1	0.36666431588659	1.37515448200624
ENSG00000006652	IFRD1	8135514	0.5	0.0128545726538344	5.07733683320282	0.3	0.00835580752049303	6.90549578800175
ENSG00000006704	GTF2IRD1	8133477	-0.3	0.0160223321915076	-4.7745542070746	0.2	0.0944493760104432	2.79173283106652
ENSG00000006715	VPS41	8139165	-0.1	0.442708199827971	-1.11229953953984			
ENSG00000006740	ARHGAP44	8005064	0.2	0.104629319506826	2.62193255920267	0.3	0.0298693517308678	4.3138746333785
ENSG00000006747	SCIN	8131550	-0.4	0.0138170995564437	-4.96590240813835	0.2	0.121530800660142	2.52230104160053
ENSG00000006757	PNPLA4	8171229	-0.2	0.0127501340394006	-5.08882934381894	-0.4	0.00520171286133326	-8.19146907433266
ENSG00000006831	ADIPOR2	7953021	0.2	0.158240781666764	2.19334486865141	0.1	0.318510635486051	1.52877363460872
ENSG00000007080	CCDC124	8026895				-0.2	0.0321853234327305	-4.17326609185209
ENSG00000007168	PAFAH1B1	8003758	0.2	0.042087047266104	3.59523654295521	0.2	0.0316239297432907	4.20977677302149
ENSG00000007237	GAS7	8012605	0.3	0.0194687449542925	4.52210725058151	0.2	0.0961899261195603	2.77110381976754
ENSG00000007255	TRAPPC6A	8037505				-0.2	0.140709328712627	-2.36640007888836
ENSG00000007306	CEACAM7	8037053	0.2	0.266989609727377	1.65059877508342	0.1	0.695445983143028	0.632346422960758
ENSG00000007312	CD79B	8017511				-0.1	0.418985727318481	-1.23684639925679
ENSG00000007314	SCN4A	8017521	0.3	0.20245972365894	1.93975162121234	0.1	0.611688354785565	0.804571311431008
ENSG00000007372	PAX6	7947338	-0.6	0.0100404255290438	-5.40260371284118	-0.1	0.533106516769029	-0.969591584784988
ENSG00000007384	RHBDF1	7998136	-0.5	0.00162927896723484	-8.61168721056455	-0.2	0.0400212219624731	-3.83843935685521
ENSG00000007541	PIGQ	7991904				-0.4	0.0559257225713377	-3.40259444538659
ENSG00000007908	SELE	7922229				-0.1	0.527039507250016	-0.983256151874035
ENSG00000007933	FMO3	7907249	-1.4	2.32850846835129E-4	-14.1003806734407	-1.4	2.42438861943333E-4	-22.1434048559151
ENSG00000007944	MYLIP	8117020	-0.3	0.0608982856983868	-3.19213317784514	-0.1	0.229250320811086	-1.87203424517802
ENSG00000008083	JARID2	8116998	0.9	5.12741514242195E-4	11.5747816965658	1.0	8.89131185348781E-4	14.7283493305719
ENSG00000008086	CDKL5	8166289	1.1	5.66578304561166E-4	11.2412628370794			
ENSG00000008130	NADK	7911600				-0.2	0.0540355439874799	-3.44453949241031
ENSG00000008256	CYTH3	8138067	0.9	3.8800225855792E-4	12.4143414634398			
ENSG00000008294	SPAG9	8016745				0.3	0.0153904430375694	5.49406909569815
ENSG00000008311	AASS	8142554	-0.3	0.0600787554680568	-3.20664048626821			
ENSG00000008394	MGST1	7954196	-0.3	0.0137283489288885	-4.9767106045337			
ENSG00000008405	CRY1	7966052	0.3	0.0756170297241908	2.96432653126986			
ENSG00000008438	PGLYRP1	8037742				-0.2	0.199003192775865	-2.0142039664677
ENSG00000008441	NFIX	8026139	-0.4	0.00138809577626874	-8.95938890244213	-0.2	0.0136797425814655	-5.74771645495623
ENSG00000008513	ST3GAL1	8153021	0.3	0.026284612046031	4.14310982726606	0.6	0.00203678396129806	11.3177405987118
ENSG00000008517	IL32	7992841	0.1	0.706507102395513	0.553966086621003	-0.1	0.774303308340702	-0.474632154594694
ENSG00000008710	PKD1	7998700	0.2	0.0300439145830257	3.97691248532673			
ENSG00000008869	HEATR5B	8051464				0.1	0.742881935303727	0.537218230629005
ENSG00000008952	SEC62	8083826	0.2	0.277673532234274	1.61125596918357	0.2	0.0999312995023233	2.72954350515101
ENSG00000009335	UBE3C	7893281				0.3	0.0338049365391864	4.09801810733497
ENSG00000009413	REV3L	8128894				-0.2	0.0464102721596514	-3.63986554547647
ENSG00000009709	PAX7	7898537				0.1	0.640945530903848	0.746380736569639
ENSG00000009724	MASP2	7912361	-0.1	0.479293638878532	-1.0243908391405	-0.1	0.627032094112657	-0.774594719766272
ENSG00000009765	IYD	8122744	0.2	0.274466398307469	1.62260859908938			
ENSG00000009780	FAM76A	7899350				0.1	0.443905579161319	1.17838239297347
ENSG00000009790	TRAF3IP3	7909455				0.1	0.380520343699878	1.33501472296179
ENSG00000010030	ETV7	8125993				-0.1	0.715539490744962	-0.591538286785838
ENSG00000010165	METTL13	7907353	-0.1	0.419135961139035	-1.16991514181265			
ENSG00000010165	METTL13	7907368	-0.1	0.786472397254346	-0.403797384612285			
ENSG00000010256	UQCRC1	8087100				-0.2	0.187979260222184	-2.06923761442895
ENSG00000010278	CD9	7953291	-1.1	0.00248140258149401	-7.75701289705795	0.3	0.0987239477526755	2.74408392202576
ENSG00000010282	HHATL	8086419	0.2	0.20227219326666	1.94090606328844	0.1	0.625534635006562	0.777329909397076
ENSG00000010295	IFFO1	7960559				0.2	0.163501567574572	2.21116897375127
ENSG00000010318	PHF7	8080306	-0.4	0.0112663045482553	-5.25042760994959	-0.2	0.0496641078342642	-3.5452133802136
ENSG00000010319	SEMA3G	8087907	0.1	0.411176396143838	1.19089627361578	-0.1	0.602484003721409	-0.823785052509025
ENSG00000010322	NISCH	8080320	-0.3	0.00483905491915617	-6.56896311713543			
ENSG00000010361	FUZ	8038443	-0.4	0.00580747933292774	-6.28284935692226	-0.4	0.0174187495591234	-5.25320801932223
ENSG00000010404	IDS	8175593				0.2	0.0341574503325004	4.08049727760668
ENSG00000010438	PRSS3	8154848				0.2	0.336215064012282	1.47078127961439
ENSG00000010610	CD4	7953428	-0.3	0.0100949038970982	-5.39512860423271	-0.5	0.0129208922105173	-5.84896406967686
ENSG00000010626	LRRC23	7953520				-0.2	0.0191926613753022	-5.0503934733332
ENSG00000010671	BTK	8174051				-0.1	0.350799395418378	-1.42541847096245
ENSG00000010704	HFE	8117343	-0.4	0.00884504418403591	-5.58127947919126	-0.3	0.0411140460660664	-3.79689717214268
ENSG00000010803	SCMH1	7915363				-0.2	0.0400643238805594	-3.83701426023883
ENSG00000010818	HIVEP2	8129953				0.4	0.0147117151867654	5.60315517119408
ENSG00000011021	CLCN6	7897774				-0.2	0.276661299478491	-1.67680037203624
ENSG00000011105	TSPAN9	7953166	0.8	2.86849513337574E-4	13.3367811985007	-0.2	0.136611056241699	-2.3961435389203
ENSG00000011143	MKS1	8016909				-0.2	0.0233192725699435	-4.73352474022558
ENSG00000011201	ANOS1	8171248	0.5	0.00411128006554689	6.85206776418235	-0.6	0.0328019551810342	-4.14295562923005
ENSG00000011295	TTC19	8005141	-0.1	0.485108777994549	-1.01002330675097	-0.2	0.247865420931716	-1.79250036678495
ENSG00000011347	SYT7	7948588	0.3	0.0267073757420123	4.12270988136195			
ENSG00000011376	LARS2	8079311				0.1	0.636869072517017	0.753965117787711
ENSG00000011405	PIK3C2A	7946815				0.3	0.0150330554609393	5.5486740256485
ENSG00000011451	WIZ	8035040				-0.2	0.0168403631975745	-5.32735711219109
ENSG00000011465	DCN	7965410	-0.2	0.0179859903653781	-4.6231517327371			
ENSG00000011478	QPCTL	8029744				-0.3	0.0187687479371135	-5.09380790900788
ENSG00000011485	PPP5C	8029814				-0.2	0.077899663191843	-3.00850030100637
ENSG00000011523	CEP68	8042326	-0.3	0.0672162706635477	-3.08561932715607	-0.5	0.0221993215320688	-4.81732923719048
ENSG00000011566	MAP4K3	8051707	-0.3	0.0271105453323469	-4.10210982298469			
ENSG00000011600	TYROBP	8036224	-0.1	0.588241703918948	-0.78686321278192	-0.2	0.167541150672418	-2.18724709733004
ENSG00000011638	TMEM159	7993807	-0.4	0.0672385864989346	-3.08500967669715	-0.3	0.145043006311847	-2.33672026979119
ENSG00000011677	GABRA3	8175696	0.1	0.344264653970612	1.38068709672725	0.1	0.359198466161254	1.39807454476256
ENSG00000012223	LTF	8086607				-0.3	0.0906030956320671	-2.83703651307633
ENSG00000012504	NR1H4	7957835				-0.2	0.427620676826469	-1.2151666508208
ENSG00000012822	CALCOCO1	7963721	-0.9	0.00151188108995589	-8.74689246587465			
ENSG00000012983	MAP4K5	7978997	0.4	0.0033042079167874	7.22602873909786	0.3	0.0102617305014802	6.39949691629448
ENSG00000013275	PSMC4	8028756				-0.2	0.0489325956665952	-3.56924531793455
ENSG00000013288	MAN2B2	8093916	-0.5	0.00190415602776499	-8.30426905526995			
ENSG00000013297	CLDN11	8083887	-0.8	4.52442894750714E-4	-11.899928248842			
ENSG00000013364	MVP	7994659	-0.3	0.0220009397720902	-4.35806426471781			
ENSG00000013375	PGM3	8127841	0.6	0.00317127386834342	7.29844304422222	0.5	0.00463850374691854	8.58302292180636
ENSG00000013392	RWDD2A	8120927	-0.3	0.0765907154364161	-2.95201416048903	0.1	0.343622835134595	1.44707560225064
ENSG00000013441	CLK1	8058127	-0.4	0.199409888821173	-1.95485270527256	1.5	0.00122145183145039	13.4143106659624
ENSG00000013503	POLR3B	7958275	0.3	0.0714983735434801	3.02188580568869	0.2	0.0841038639144455	2.91766666341305
ENSG00000013523	ANGEL1	7980327	-0.5	0.00781497894477547	-5.78738256894806	-0.2	0.151605234037057	-2.28970614742771
ENSG00000013583	HEBP1	7961390	-0.1	0.692711749332917	-0.579920530933819			
ENSG00000013588	GPRC5A	7954065	-1.6	5.64140472092741E-5	-21.5648204644421	-0.3	0.0367768695175353	-3.96200315828378
ENSG00000013619	MAMLD1	8170420				0.4	0.0112576343030444	6.18652123415227
ENSG00000013725	CD6	7940391	-0.2	0.271440805894398	-1.63400586395384	-0.2	0.23776304438072	-1.83470744145889
ENSG00000014164	ZC3H3	8153411				-0.2	0.0263677968656853	-4.52387283724451
ENSG00000014257	ACPP	8082673				0.4	0.0870912725435517	2.87871552237419
ENSG00000014824	SLC30A9	8094848	0.2	0.161906128133943	2.16949753330051			
ENSG00000014919	COX15	7935647	-0.2	0.106559784887409	-2.60276513498339	-0.3	0.0780216891622464	-3.00691774404829
ENSG00000015133	CCDC88C	7980773	0.2	0.287354179181716	1.57459499875807			
ENSG00000015133	CCDC88C	7980828	-0.3	0.230484839053135	-1.80493256098283	-0.2	0.505048959269241	-1.03331737577816
ENSG00000015676	NUDCD3	8139356	-0.1	0.312970746858035	-1.47937104680085			
ENSG00000016082	ISL1	8105220				0.1	0.532515769077217	0.970874230801544
ENSG00000016391	CHDH	8088142				0.2	0.221980156185675	1.90240665907634
ENSG00000016402	IL20RA	8129837	-0.3	0.102626958224194	-2.64380854946747			
ENSG00000016490	CLCA1	7902721	0.2	0.155509978328021	2.21054868956937	0.1	0.338947173381001	1.46265580162395
ENSG00000017260	ATP2C1	8082607	0.4	0.0311448988643024	3.93591107383664	0.1	0.297261536899498	1.60297023894357
ENSG00000017483	SLC38A5	8172425	0.5	0.00413434981157512	6.84446793200049	0.2	0.203583216210485	1.98933794251992
ENSG00000018510	AGPS	8046604	0.5	0.0147715502405765	4.87450688958627	0.3	0.0262195130921573	4.53284258691166
ENSG00000018699	TTC27	8041360	0.3	0.0776102815449914	2.93779739593348			
ENSG00000019102	VSIG2	7952426	0.1	0.495791808228452	0.985312175633873			
ENSG00000019144	PHLDB1	7944302	0.3	0.0139674493427539	4.94794287157309			
ENSG00000019169	MARCO	8044773	0.3	0.124959047262984	2.4430721071907	0.1	0.574941283446684	0.883217530997542
ENSG00000019186	CYP24A1	8067140	-0.6	0.00639580067280983	-6.12265895312979	-0.4	0.0443975491372331	-3.69566815818243
ENSG00000019549	SNAI2	8150698	0.3	0.0101129391141976	5.39283279460153			
ENSG00000019582	CD74	8115147	-0.3	0.0695656451717877	-3.04812078049341	-0.2	0.121247520656399	-2.52473702615767
ENSG00000019991	HGF	8140556	-0.9	0.0024384243168887	-7.79899853703191	0.5	0.0133303765611358	5.7847721165886
ENSG00000019995	ZRANB1	7931226				-0.3	0.0308728354628224	-4.25740799882053
ENSG00000020129	NCDN	7899990				-0.2	0.0317543584453812	-4.20286179290337
ENSG00000020181	ADGRA2	8145865	0.6	0.00104636672815674	9.68058366407252	-0.4	0.00969118451862874	-6.56779511425132
ENSG00000020426	MNAT1	7974799	-0.2	0.0416899880517906	-3.60736285629258			
ENSG00000020577	SAMD4A	7974425	0.3	0.0228022513700091	4.31091931122555			
ENSG00000021300	PLEKHB1	7942453				-0.2	0.0885454962706504	-2.86087140962646
ENSG00000021355	SERPINB1	8123598	-0.5	0.00551312826635866	-6.36173798863108			
ENSG00000021488	SLC7A9	8035941	0.1	0.522736936217301	0.924030561052036	0.1	0.586807859229423	0.856094474005409
ENSG00000021574	SPAST	8041236				0.2	0.0667369351079719	3.1899112498765
ENSG00000021762	OSBPL5	7945831	-0.6	0.00123103052636511	-9.22579735352136	-0.5	0.00851768717648349	-6.87152682440507
ENSG00000022267	FHL1	8170119				-0.5	0.00247523826247395	-10.6122998285101
ENSG00000022567	SLC45A4	8153258	0.2	0.207479388599068	1.91549793927422			
ENSG00000023171	GRAMD1B	7944769	-0.5	0.00245034494153268	-7.78530582661219			
ENSG00000023191	RNH1	7945420	0.1	0.444391251721322	1.10803432023917	-0.4	0.0236823071423871	-4.70531771434498
ENSG00000023228	NDUFS1	8058428	0.2	0.214930058393558	1.87829862451406	0.3	0.0300044425405544	4.30308980611444
ENSG00000023287	RB1CC1	8150757	0.2	0.0893766318001418	2.78782254181704	0.2	0.0462415793838004	3.64406801960168
ENSG00000023330	ALAS1	8080184				0.2	0.0337081792213983	4.10183960825172
ENSG00000023445	BIRC3	7943413	-0.4	0.0672549210996601	-3.08411729641983	0.7	0.0077560475625492	7.11399333384954
ENSG00000023516	AKAP11	7968835	0.1	0.422587649972913	1.16127466300098	0.4	0.0532920604419704	3.46144452189541
ENSG00000023608	SNAPC1	7974870	0.1	0.44723613334036	1.10117981546882	0.1	0.722599807293708	0.577303366365534
ENSG00000023697	DERA	7954185	-0.3	0.00855644018832214	-5.64454286071218			
ENSG00000023734	STRAP	7954173	0.3	0.0506509410893934	3.39082778497801	0.3	0.0287299518812496	4.38031821755556
ENSG00000023902	PLEKHO1	7905116	0.2	0.0402297749656993	3.64457657098241			
ENSG00000023909	GCLM	7917779				0.1	0.240932499929615	1.81956778127272
ENSG00000024048	UBR2	8119529				0.2	0.154191098240376	2.27144430528737
ENSG00000024422	EHD2	8029950				-0.2	0.0328019551810342	-4.14302749502782
ENSG00000024526	DEPDC1	7916898				0.3	0.0373767212859086	3.93424051161819
ENSG00000025039	RRAGD	8128123	-0.2	0.0563393509614695	-3.27976906266737	0.2	0.149039408842085	2.30689415147588
ENSG00000025423	HSD17B6	7956271	-0.4	0.0276892125924016	-4.07839605564381	-0.4	0.0525593877342752	-3.48053347727915
ENSG00000025434	NR1H3	7939751	-0.3	0.0313555895451871	-3.92776528683161	-0.2	0.0595231149057564	-3.32206787199084
ENSG00000025772	TOMM34	8066461	-0.4	0.0021831347125709	-8.00719100530804			
ENSG00000025796	SEC63	8128650	0.3	0.0140285417492515	4.94342194482861			
ENSG00000026103	FAS	7929032	-0.4	0.0143132218918454	-4.91730490067415	-0.5	0.0114226902825654	-6.13246808332241
ENSG00000026559	KCNG1	8067029	1.5	3.57052763382676E-5	26.4322842897367			
ENSG00000026559	KCNG1	8067033	0.7	2.11003791096535E-4	14.4310975673056			
ENSG00000026950	BTN3A1	8117458	-0.2	0.228209718739666	-1.81537790803919	-0.3	0.0297669265183911	-4.31838150385976
ENSG00000027075	PRKCH	7974835	-0.7	0.00167714246740712	-8.54543703597264	-0.2	0.145407524993196	-2.33401496610885
ENSG00000027644	INSRR	7921155	0.2	0.140593805499358	2.31959390734604			
ENSG00000027697	IFNGR1	8129861	0.2	0.0668567091635687	3.09367409561483			
ENSG00000027869	SH2D2A	7921144				-0.2	0.0550005561962128	-3.42109709368695
ENSG00000028116	VRK2	8042086				0.4	0.00739866071545669	7.25521266418004
ENSG00000028137	TNFRSF1B	7896721	-0.3	0.324320722793733	-1.44094295777659	0.1	0.814007026034979	0.388774442979884
ENSG00000028137	TNFRSF1B	7897877	-0.7	6.16608232983516E-4	-11.0375358552702	0.2	0.0316239297432907	4.21042906894146
ENSG00000028277	POU2F2	8037123	0.2	0.0591867571286189	3.22414604700633			
ENSG00000028310	BRD9	8110734	0.1	0.414721744614169	1.18057587515501	0.2	0.236587276266286	1.84040394065574
ENSG00000028528	SNX1	7984155	-0.2	0.10390572470832	-2.63108736932436			
ENSG00000029153	ARNTL2	7954527	-0.5	0.0240744730625638	-4.24971925452811	0.4	0.0182485105203561	5.15400476403821
ENSG00000029534	ANK1	8150439	0.9	3.09764987910635E-4	13.0668997592728			
ENSG00000029559	IBSP	8096281	0.9	0.00867706085311738	5.61752510117362	-0.5	0.00971562410853106	-6.53901805690737
ENSG00000029639	TFB1M	8130438	-0.2	0.136594731242147	-2.35005824879227			
ENSG00000029725	RABEP1	8004111				0.2	0.0324510537566622	4.16140457612005
ENSG00000030066	NUP160	7947991	0.2	0.355915197477906	1.34576587152891	0.3	0.0885751858832864	2.86047278858464
ENSG00000030110	BAK1	8125766	0.2	0.0650071105166766	3.12355201044592			
ENSG00000030419	IKZF2	8058670	-0.5	0.00165656102741582	-8.57898992422082	0.2	0.0655521923778024	3.21211411059973
ENSG00000030582	GRN	8007620	-0.3	0.0161335684827274	-4.76421619935504	-0.3	0.028896398834895	-4.36817180741665
ENSG00000031003	FAM13B	8114326	-0.1	0.701841279768183	-0.562675703684319			
ENSG00000031081	ARHGAP31	8081838	0.4	0.0072831652939617	5.90726454975894	0.4	0.00835580752049303	6.91235559521628
ENSG00000031698	SARS	7903619	0.5	0.0042941270489474	6.7755570424414	-0.5	0.00672480149959871	-7.50694862619164
ENSG00000031823	RANBP3	8033075				-0.2	0.0628676051792494	-3.26013137395171
ENSG00000032219	ARID4A	7974621				0.1	0.257417605213553	1.75163392288567
ENSG00000032389	TSSC1	8050060				-0.2	0.0842807203470021	-2.91595609922412
ENSG00000032742	IFT88	7967933	0.1	0.365874720364581	1.31593840680813			
